,date,likes,comments,reposts,link
75,2,124,4,11,https://www.linkedin.com/feed/update/urn:li:activity:7020423186622095360
76,2,408,16,23,https://www.linkedin.com/feed/update/urn:li:activity:7020314959855132673
77,2,52,4,0,https://www.linkedin.com/feed/update/urn:li:activity:7020013211550679040
78,2,457,46,49,https://www.linkedin.com/feed/update/urn:li:activity:7019948230033473536
79,2,236,11,36,https://www.linkedin.com/feed/update/urn:li:activity:7019652967855222784
80,2,174,18,11,https://www.linkedin.com/feed/update/urn:li:activity:7019360406016020481
81,2,841,25,78,https://www.linkedin.com/feed/update/urn:li:activity:7019246392434946048
82,2,145,11,9,https://www.linkedin.com/feed/update/urn:li:activity:7019206010355503104
83,2,1340,104,150,https://www.linkedin.com/feed/update/urn:li:activity:7018874530127298560
84,2,114,6,12,https://www.linkedin.com/feed/update/urn:li:activity:7018646528651141120
85,2,183,10,15,https://www.linkedin.com/feed/update/urn:li:activity:7018552207629316096
86,2,188,10,19,https://www.linkedin.com/feed/update/urn:li:activity:7018511731190562816
87,2,179,21,11,https://www.linkedin.com/feed/update/urn:li:activity:7018198864151093248
88,2,427,29,51,https://www.linkedin.com/feed/update/urn:li:activity:7018144682702446592
89,2,213,20,14,https://www.linkedin.com/feed/update/urn:li:activity:7017921147375616000
90,2,773,26,66,https://www.linkedin.com/feed/update/urn:li:activity:7017786455661912064
91,2,148,7,16,https://www.linkedin.com/feed/update/urn:li:activity:7017456170755842049
92,2,125,17,14,https://www.linkedin.com/feed/update/urn:li:activity:7017110041082122240
93,2,168,12,9,https://www.linkedin.com/feed/update/urn:li:activity:7017036421660069889
94,2,301,64,14,https://www.linkedin.com/feed/update/urn:li:activity:7016687802247487488
95,2,426,20,22,https://www.linkedin.com/feed/update/urn:li:activity:7016464499503210497
96,2,115,6,13,https://www.linkedin.com/feed/update/urn:li:activity:7016410321657450498
97,2,65,5,3,https://www.linkedin.com/feed/update/urn:li:activity:7016084958041505792
98,2,84,13,7,https://www.linkedin.com/feed/update/urn:li:activity:7015989709734596608
99,2,632,147,71,https://www.linkedin.com/feed/update/urn:li:activity:7015768033809817600
100,2,835,126,124,https://www.linkedin.com/feed/update/urn:li:activity:7015686797569466368
101,2,274,6,27,https://www.linkedin.com/feed/update/urn:li:activity:7015599929276387328
102,2,159,11,13,https://www.linkedin.com/feed/update/urn:li:activity:7015323454698569729
103,2,579,55,52,https://www.linkedin.com/feed/update/urn:li:activity:7015241888748183552
104,2,170,12,22,https://www.linkedin.com/feed/update/urn:li:activity:7014875891411353600
105,2,704,75,88,https://www.linkedin.com/feed/update/urn:li:activity:7014570674975293440
106,2,185,12,14,https://www.linkedin.com/feed/update/urn:li:activity:7014500672859422720
107,2,99,15,7,https://www.linkedin.com/feed/update/urn:li:activity:7014169731259588608
108,2,931,78,88,https://www.linkedin.com/feed/update/urn:li:activity:7014128907733843968
109,2,430,8,10,https://www.linkedin.com/feed/update/urn:li:activity:7013937757777502208
110,2,736,48,24,https://www.linkedin.com/feed/update/urn:li:activity:7013846765783130112
111,2,210,10,9,https://www.linkedin.com/feed/update/urn:li:activity:7013843549586661376
112,2,230,22,20,https://www.linkedin.com/feed/update/urn:li:activity:7013772820975337472
113,2,688,41,113,https://www.linkedin.com/feed/update/urn:li:activity:7013414057558867968
114,2,374,30,36,https://www.linkedin.com/feed/update/urn:li:activity:7012697481570304000
115,2,1219,234,122,https://www.linkedin.com/feed/update/urn:li:activity:7012331366910468096
116,2,56,4,6,https://www.linkedin.com/feed/update/urn:li:activity:7012047835344818176
117,2,342,31,40,https://www.linkedin.com/feed/update/urn:li:activity:7011969911463804928
118,2,715,57,54,https://www.linkedin.com/feed/update/urn:li:activity:7011671342471077889
